text,intent
booking lab kelompok,lab_booking
nasi padang kampus,canteen_food
akomodasi sekarang,asrama_mahasiswa
harga kamar,asrama_mahasiswa
coffee shop kampus,canteen_food
sks yang sudah selesai diambil,sks_dan_ipk
tarif kamar,asrama_mahasiswa
vaksinasi kampus,health_services
perpustakaan anak,facility_hours
good night,greeting
isi krs,krs_dan_kartu_rencana_studi
timeline krs,krs_dan_kartu_rencana_studi
pengisian krs,krs_dan_kartu_rencana_studi
bus route,bus_schedule
sks yang sudah diselesaikan,sks_dan_ipk
jadwal kuliah siang,jadwal_kuliah
kos saat ini,asrama_mahasiswa
lapangan sepak bola,sport_facilities
bus map,bus_schedule
harga makanan kantin,canteen_food
satuan kredit,sks_dan_ipk
kalender pendek,kalender_akademik
jadwal kelas,jadwal_kuliah
jadwal kuliah online,jadwal_kuliah
lab komputer perpustakaan jam,facility_hours
browse e journal,layanan_perpustakaan_digital
restoran kampus,canteen_food
cara booking lab,lab_booking
digital library access,facility_hours
sks yang telah terpenuhi,sks_dan_ipk
lokasi kantin,canteen_food
zona bus,bus_schedule
physiotherapy kampus,health_services
bus,bus_schedule
krs sistem,krs_dan_kartu_rencana_studi
kantin buka jam berapa,canteen_food
sks yang sudah diambil,sks_dan_ipk
parkir visitor,parking_info
kalender universitas,kalender_akademik
kantin dekat perpustakaan,canteen_food
sks yang sudah selesai diambil,sks_dan_ipk
parkir langganan,parking_info
rute,bus_schedule
sks yang telah dipenuhi,sks_dan_ipk
jadwal kuliah ekonomi,jadwal_kuliah
cari jurnal elektronik,layanan_perpustakaan_digital
kost lama,asrama_mahasiswa
download jurnal internet,layanan_perpustakaan_digital
basket court,sport_facilities
operational hours library,facility_hours
jadwal penggunaan lab,lab_booking
library opening hours,facility_hours
tempat tinggal baru,asrama_mahasiswa
akses disabilitas,facility_hours
kopi kampus,canteen_food
zona hening perpustakaan,facility_hours
kantin fakultas teknik,canteen_food
kalender kampus,kalender_akademik
masa krs,krs_dan_kartu_rencana_studi
kamar lama,asrama_mahasiswa
bus tracker,bus_schedule
angkutan kampus,bus_schedule
makanan kampus,canteen_food
kos mahasiswa,asrama_mahasiswa
selamat pagi,greeting
klaim asuransi kesehatan,health_services
printing service hours,facility_hours
browse jurnal online,layanan_perpustakaan_digital
buat krs,krs_dan_kartu_rencana_studi
jam perpustakaan hari sabtu,facility_hours
cari jurnal internet,layanan_perpustakaan_digital
dance studio,sport_facilities
ubah jadwal kuliah,jadwal_kuliah
kost kampus,asrama_mahasiswa
kalender studi,kalender_akademik
hello,greeting
kantin indonesian food,canteen_food
dokter kampus,health_services
emergency medical campus,health_services
bus gps,bus_schedule
cara daftar asrama,asrama_mahasiswa
penginapan untuk mahasiswa,asrama_mahasiswa
jam buka kantin,canteen_food
sks pribadi,sks_dan_ipk
intramural sports,sport_facilities
akses koleksi khusus,facility_hours
lab untuk ujian,lab_booking
pendaftaran asrama,asrama_mahasiswa
mie ayam kampus,canteen_food
titik bus,bus_schedule
bus berhenti,bus_schedule
kantin 24 jam,canteen_food
informasi asrama,asrama_mahasiswa
kalender ganjil,kalender_akademik
jadwal perkuliahan,jadwal_kuliah
event promosi kesehatan,health_services
booking ruang lab,lab_booking
fasilitas gaming lab,lab_booking
sks sendiri,sks_dan_ipk
tenggat waktu krs,krs_dan_kartu_rencana_studi
kapan perpustakaan tutup,facility_hours
krs mobile,krs_dan_kartu_rencana_studi
download jurnal digital,layanan_perpustakaan_digital
lab open 24 jam,lab_booking
lokasi bus,bus_schedule
akses e resources,facility_hours
registrasi asrama,asrama_mahasiswa
bus tiba,bus_schedule
asrama mahasiswa,asrama_mahasiswa
hotline kesehatan mental,health_services
booking lab komputer,lab_booking
flu shot kampus,health_services
tempat jajan kampus,canteen_food
e journal,layanan_perpustakaan_digital
lintasan,bus_schedule
kantin ramah muslim,canteen_food
sks yang telah selesai ditempuh,sks_dan_ipk
bus datang,bus_schedule
jadwal kuliah dan ruangan,jadwal_kuliah
bus kapan,bus_schedule
timetable bus,bus_schedule
biaya kamar,asrama_mahasiswa
bus online,bus_schedule
asrama universitas,asrama_mahasiswa
parkir gratis,parking_info
opsi vegetarian kampus,canteen_food
sks yang telah diambil,sks_dan_ipk
akomodasi lama,asrama_mahasiswa
jadwal kuliah malam,jadwal_kuliah
krs website,krs_dan_kartu_rencana_studi
biaya parkir,parking_info
makan siang kampus,canteen_food
akses jurnal digital,layanan_perpustakaan_digital
tiket parkir,parking_info
kost untuk mahasiswa,asrama_mahasiswa
study calendar,kalender_akademik
sks aku,sks_dan_ipk
wassalam,greeting
jurnal online,layanan_perpustakaan_digital
shuttle zone,bus_schedule
sks saya,sks_dan_ipk
membaca jurnal elektronik,layanan_perpustakaan_digital
hunian baru,asrama_mahasiswa
lab data science,lab_booking
akses jurnal online,layanan_perpustakaan_digital
penginapan sekarang,asrama_mahasiswa
parkir malam,parking_info
penginapan baru,asrama_mahasiswa
angkutan umum kampus,bus_schedule
jadwal kuliah sabtu,jadwal_kuliah
jadwal kuliah offline,jadwal_kuliah
workshop kesehatan,health_services
kelas fitness grup,sport_facilities
akomodasi saat ini,asrama_mahasiswa
kalender semester,kalender_akademik
lab dengan software khusus,lab_booking
kantin dengan wifi,canteen_food
