text,intent
kebijakan kuliah selama pandemi,pandemi_covid19
apakah kuliah online atau offline,pandemi_covid19
protokol kesehatan di kampus,pandemi_covid19
vaksinasi untuk mahasiswa,pandemi_covid19
kuliah hybrid bagaimana,pandemi_covid19
sistem pembelajaran jarak jauh,pandemi_covid19
apakah wajib vaksin untuk masuk kampus,pandemi_covid19
tes covid di kampus,pandemi_covid19
isolasi mandiri bagi mahasiswa terkonfirmasi covid,pandemi_covid19
bantuan untuk mahasiswa terdampak covid,pandemi_covid19
kebijakan absensi selama pandemi,pandemi_covid19
ujian online selama pandemi,pandemi_covid19
laboratorium online selama pandemi,pandemi_covid19
praktikum bagaimana saat pandemi,pandemi_covid19
skripsi selama pandemi,pandemi_covid19
bimbingan online dengan dosen,pandemi_covid19
perpustakaan online,pandemi_covid19
layanan konseling selama pandemi,pandemi_covid19
beasiswa khusus pandemi,pandemi_covid19
keringanan biaya selama pandemi,pandemi_covid19
penangguhan studi karena pandemi,pandemi_covid19
kembali ke kampus setelah pandemi,pandemi_covid19
new normal di kampus,pandemi_covid19
pembatasan kapasitas ruangan,pandemi_covid19
sertifikat vaksin untuk akses kampus,pandemi_covid19
rapid test di kampus,pandemi_covid19
hotline covid kampus,pandemi_covid19
kantin selama pandemi,pandemi_covid19
transportasi kampus selama pandemi,pandemi_covid19
asrama selama pandemi,pandemi_covid19
kegiatan organisasi selama pandemi,pandemi_covid19
wisuda selama pandemi,pandemi_covid19
penerimaan mahasiswa baru selama pandemi,pandemi_covid19
pertukaran pelajar selama pandemi,pandemi_covid19
konferensi online,pandemi_covid19
penelitian tentang covid 19,pandemi_covid19
relawan covid di kampus,pandemi_covid19
donasi untuk penanganan covid,pandemi_covid19
edukasi pencegahan covid,pandemi_covid19
satgas covid kampus,pandemi_covid19
aplikasi tracing kampus,pandemi_covid19
laporan kasus covid di kampus,pandemi_covid19
kerjasama dengan rumah sakit,pandemi_covid19
pcr test untuk mahasiswa,pandemi_covid19
asuransi kesehatan covid,pandemi_covid19
kebijakan masker di kampus,pandemi_covid19
sanitizer tersedia di mana saja,pandemi_covid19
ventilasi ruangan kelas,pandemi_covid19
sirkulasi udara di gedung,pandemi_covid19
makan di kantin boleh buka masker,pandemi_covid19
olahraga di kampus selama pandemi,pandemi_covid19
gym buka selama pandemi,pandemi_covid19
layanan kesehatan mental selama pandemi,pandemi_covid19
stress karena pandemi,pandemi_covid19
program kelas internasional,kelas_internasional
international class,kelas_internasional
kuliah bahasa inggris,kelas_internasional
program double degree,kelas_internasional
kurikulum internasional,kelas_internasional
kerjasama dengan universitas luar,kelas_internasional
kelas dengan pengajar asing,kelas_internasional
sertifikat internasional,kelas_internasional
akreditasi internasional,kelas_internasional
program twinning,kelas_internasional
credit transfer ke luar negeri,kelas_internasional
kelas malam untuk pekerja,kelas_internasional
executive class,kelas_internasional
weekend class,kelas_internasional
online international program,kelas_internasional
micro credential,kelas_internasional
professional certification program,kelas_internasional
executive mba,kelas_internasional
global leadership program,kelas_internasional
cross cultural learning,kelas_internasional
international immersion program,kelas_internasional
study tour ke luar negeri,kelas_internasional
global case competition,kelas_internasional
international internship,kelas_internasional
global virtual team project,kelas_internasional
international research collaboration,kelas_internasional
joint publication,kelas_internasional
international conference funding,kelas_internasional
bahasa pengantar inggris,kelas_internasional
toefl requirement for international class,kelas_internasional
ielts minimum score,kelas_internasional
interview for international program,kelas_internasional
biaya kelas internasional,kelas_internasional
scholarship for international class,kelas_internasional
visa support for international students,kelas_internasional
host family program,kelas_internasional
buddy program for international students,kelas_internasional
cross cultural workshop,kelas_internasional
international student association,kelas_internasional
global alumni network,kelas_internasional
career opportunity international,kelas_internasional
multinational company recruitment,kelas_internasional
global competency certificate,kelas_internasional
intercultural communication skill,kelas_internasional
diversity and inclusion training,kelas_internasional
global citizenship program,kelas_internasional
sustainable development goals course,kelas_internasional
united nations model,kelas_internasional
international law program,kelas_internasional
global health program,kelas_internasional
international business program,kelas_internasional
global engineering program,kelas_internasional
